product_name,category_id,price_walmart,price_sobeys,price_zehrs,image,url_walmart,url_sobeys,url_zehrs,description
Green Cabbage,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/272/109/6000191272109.jpg,https://www.walmart.ca/en/ip/cabbage-green/6000191271795,https://voila.ca/products/833778EA/details,https://www.zehrs.ca/green-cabbage/p/20793034001_KG,"Cabbages are cruciferous vegetables that range in size, shape, and colour. Green cabbage heads have tightly wrapped leaves with a mild, spicy flavour that can be eaten raw or cooked. Shred cabbage for salad or slaw, or cut into wedges and roast with olive oil and lemon."
Cucumber,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/094/566/6000200094566.jpg,https://www.walmart.ca/en/ip/cucumber-seedless/6000188920591,https://voila.ca/products/8280EA/details,https://www.zehrs.ca/english-cucumber/p/20070132001_EA,English (or hothouse) cucumbers are cylindrical green-skinned fruit with a crisp white flesh and edible seeds. English cucumbers are typically enjoyed raw and can be peeled or eaten with the skin on. Add sliced cucumber to your next vegetable platter or toss with mint and lemon juice for a refreshing salad.
Mushrooms ,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/163/459/6000202163459.jpg,https://www.walmart.ca/en/ip/mushrooms-whole-white-your-fresh-market/6000196142665,https://voila.ca/products/192394EA/details,https://www.zehrs.ca/white-mushrooms/p/21021499_EA,"Your Fresh Market Whole White Mushrooms add wonderful flavour and texture to your favourite dishes. Simply toss them whole or slice them into your sauce, soup, or stew for extra deliciousness. Keep Your Fresh Market Whole White Mushrooms on hand so you're ready to whip up tasty dishes for company."
Rainbow Pepper,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/284/684/6000191284684.jpg,https://www.walmart.ca/en/ip/pepper-rainbow-bell/6000191284683,https://voila.ca/products/113628EA/details,https://www.zehrs.ca/greenhouse-peppers/p/20085851001_EA,"Bell peppers have green, orange, red, or yellow skin and a sweet flavour. They are crisp and juicy, perfect for enjoying raw with dips or hummus and to add some colour to your stir-fries."
Tomato,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/lu4/853/999999-PLU4853.jpg,https://www.walmart.ca/en/ip/tomato-beefsteak/6000190008474,https://voila.ca/products/834432EA/details,https://www.zehrs.ca/tomato-beefsteak-red/p/20426141001_KG,Greenhouse tomatoes are firm and plump with a red skin when ripe. They are perfect sliced and used as a topping on burgers and sandwiches like the classic BLT. Or scoop out the pulp and seeds to make baked stuffed tomatoes.
Green Onion,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/094/564/6000200094564.jpg,https://www.walmart.ca/en/ip/green-onion/6000191275347,https://voila.ca/products/588880EA/details,https://www.zehrs.ca/green-onion/p/20107500001_EA,Green onions have a firm white base with a small rounded bulb and crisp bright green tops. Scallions are similar but have a straighter white base and slightly milder flavour. Chop fresh green onions for salads or pair with mushrooms for a tart or omelette.
Celery ,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/094/529/6000200094529.jpg,https://www.walmart.ca/en/ip/celery/6000194185795,https://voila.ca/products/104988EA/details,https://www.zehrs.ca/celery-stalks/p/20163119001_EA,"Celery has a cluster of pale green leaved ribs surrounding a heart (inner ribs). Trimmed celery leaves can be used as a garnish or added to a mixed greens salad. Enjoy celery on its own or with dip as a snack, or chop for soups, stews, or a sandwich."
Carrots,1,2.27,2.49,2.99,https://i5.walmartimages.ca/images/Enlarge/094/417/6000200094417.jpg,https://www.walmart.ca/en/ip/carrots/6000196795077,https://voila.ca/products/774685EA/details,https://www.zehrs.ca/carrots-bunched/p/20047449001_EA,"Carrots are long and slender and come in a variety of colours in addition to orange. This popular vegetable is available all year and can be eaten raw or cooked in many ways. Try roasting whole carrots, chopping them for soups, stews, and casseroles, or indulge in carrot cake with cream cheese frosting"
Yellow Onions,1,3.97,5.99,4.99,https://i5.walmartimages.ca/images/Enlarge/208/928/6000202208928.jpg,https://www.walmart.ca/en/ip/onion-yellow-your-fresh-market/6000197111437,https://voila.ca/products/14573EA/details,https://www.zehrs.ca/yellow-onions-3lb-bag/p/20811994001_EA,"Yellow onions have a light golden skin and a white flesh. These all-purpose onions have a strong flavour and odour and are a very popular choice for cooking. Chop and add to soups, stews, and almost any recipe that calls for onion."
Lettuce ,1,1.54,2.79,1.47,https://i5.walmartimages.ca/images/Enlarge/272/297/6000191272297.jpg,https://www.walmart.ca/en/ip/lettuce-iceberg/6000191272296,https://voila.ca/products/750521EA/details,https://www.zehrs.ca/lettuce-iceberg/p/20135326001_EA,"Iceberg (or crisphead) lettuce is a round, tightly-packed head of pale green leaves. It has a crisp texture and a mild flavour and is mainly used fresh. Shred iceberg lettuce for salads and slaws, or cut into wedges and drizzle with blue cheese dressing."
Green Pepper ,1,6.63,1.99,3.66,https://i5.walmartimages.ca/images/Enlarge/287/775/6000191287775.jpg,https://www.walmart.ca/en/ip/pepper-green-bell/6000191286438,https://voila.ca/products/834298EA/details,https://www.zehrs.ca/sweet-green-peppers/p/20425893001_KG,"Green bell peppers have a bright green skin and mild, sweet flavour. Their flesh is crisp and juicy, perfect for enjoying raw with dips or hummus. Green bell peppers will add some colour to your stir-fry, or remove the tops and seeds to make stuffed bell peppers."
Broccoli ,1,1.67,2.49,1.99,https://i5.walmartimages.ca/images/Enlarge/094/505/6000200094505.jpg,https://www.walmart.ca/en/ip/broccoli-stalks/6000016950304,https://voila.ca/products/7922EA/details,https://www.zehrs.ca/broccoli/p/20145621001_EA,"Broccoli is a cruciferous vegetable that comes in a tight cluster of florets on top of firm, edible stalks. It is deep green in colour, sometimes with a tinge of purple. Add raw broccoli florets to your next vegetable platter or pair with cheddar cheese for a quiche."
